Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Amanova Cão Adult Mini Sensitive Salmon Deluxe 800g;Canídeos - Ração - Seca;1.00;6,05;6,05
;Bioquimica - TP (Total protein);Análises - Simples;22.00;29,7;29,7
;Veraflox cão/gato 15mg - comprimido;Medicamentos;0.00;0;0
;Compressa em não tecido 20*10cm *f;Consumíveis;3.00;0;0
;Applaws Cat Peixe Oceano - Lata 70g;Felídeos - Ração - Húmida;0.00;0;0
;Effivet líquido 250ml;Suplemento;0.00;0;0
;Amanova Cão Adult Mini Exigent Iberian Pork 800g;Canídeos - Ração - Seca;0.00;0;0
;Bioquimica - GLU (Glucose);Análises - Simples;25.00;31,75;31,75
;Advocate Gato - 0,4ml - (0-4kg) - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
;Effivet líquido 750ml;Suplemento;0.00;0;0
;RC Cat Urinary S/O Moderate Calorie - 1,5kg;Felídeos - Ração - Seca;0.00;0;0
;HPM A1 Dog Hypoallergy Insecto 3Kg;Canídeos - Ração - Seca;0.00;0;0
;Privaprol 2ml;Injectáveis;0.00;0;0
;Imovec multi espécies 50ml *f;Injectáveis;0.00;0;0
;Amoxibactin 500 - comprimido;Medicamentos;0.00;0;0
;Doxycare (Doxiciclina) 40mg - comprimido;Medicamentos;310.00;170,5;170,5
;Schesir Gato Atum/Ananás 85g - lata;Felídeos - Ração - Húmida;0.00;0;0
;Schesir Cão Frango/Abóbora 285g - Lata;Canídeos - Ração - Húmida;2.00;5,36;5,36
;Schesir Gato Atum/Salmão 85g - saqueta;Felídeos - Ração - Húmida;12.00;9,6;9,6
;HPM A2 Dog Hypoallergy Salmão 3Kg;Canídeos - Ração - Seca;0.00;0;0
;RC Convalescence Support Instant 50g;Felídeos - Ração - Seca;0.00;0;0
;Cardisure 1,25mg - blister;Medicamentos;37.00;71,78;71,78
;Schesir Cão Frango/Cenoura 285g - Lata;Canídeos - Ração - Húmida;0.00;0;0
;2024 Kong Natal (Gato) com catnip - vários;Outros;0.00;0;0
;Depo-medrol 80mg/ml - 1 ampola *f;Medicamentos;0.00;0;0
;Bolfo casa spray;Canídeos e Felídeos - Desp.externo - Spray;0.00;0;0
;Adesivo para a pele - spray;Consumíveis;0.00;0;0
;Librela 20mg (30-40kg) - 1ml;Medicamentos;1.00;48,02;48,02
;Wecogni 180gr - Embalagem;Suplemento;0.00;0;0
;Kong Softies Lama (Gato);Outros;0.00;0;0
;RC Kit Kitten;Felídeos - Rações;0.00;0;0
;Amanova Gato Atum e Camarões - lata 70g;Felídeos - Ração - Húmida;16.00;13,76;13,76
;NAO USAR - Eritropoitina - Neorecormon - cx 6 ampolas;Injectáveis;0.00;0;0
;Kong Easy Treat - Pasta Puppy/Chicken;Bem-estar Animal;0.00;0;0
;Baytril/Floxabactin/Enroxal (enrofloxacina) 50mg - comprimido;Medicamentos;0.00;0;0
;TOW CÃO LATA PATO;Canídeos - Ração - Húmida;0.00;0;0
;Schesir Gato Frango/Dourada 70g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;Credelio PLUS 900mg 22-45Kg - Comprimido;Canídeos - Desp.externo - Comprimido c/ prev.dirofilariose;18.00;150,84;150,84
;Kong Natal Floppy Knots Rena (Cão);Outros;0.00;0;0
;RC Kit Mini Puppy;Canídeos - Ração;1.00;4,2;4,2
;Amanova Gato Atum e Algas 70g;Felídeos - Ração - Húmida;0.00;0;0
;Zycortal 25mg/ml 4ml - f*;Medicamentos;1.00;89;89
;Prozinc 40UI/ml 10ml;Injectáveis;0.00;0;0
;Tylan pó - embalagem 100g;Animais de produção - Medicamentos;0.00;0;0
;Credelio 225mg 5,5-11Kg - Comprimido;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;25.00;105,5;105,5
;Kong Natal Shakers Luvs Rena 2023;Outros;0.00;0;0
;AD Cat Wet Sterilized Codfish 85g;Felídeos - Ração - Húmida;6.00;4,26;4,26
;RC Kitten 400g;Felídeos - Ração - Seca;0.00;0;0
;Amanova Gato Atum e Sardinha 70g;Felídeos - Ração - Húmida;21.00;18,06;18,06
;Ulcermin (sucralfato) - saqueta 5ml;Medicamentos;43.00;9,46;9,46
;Oxtra 250ml;Animais de produção - Medicamentos;0.00;0;0
;Gentayet - frasco 100ml *f;Medicamentos;0.00;0;0
;Applaws Cat Adult Chicken and Duck 7,5kg;Felídeos - Ração - Seca;0.00;0;0
;Galliprant 60mg - 1 comprimido;Medicamentos;0.00;0;0
;Schesir Ediçao Especial Lagosta - 3x50g;Felídeos - Ração - Húmida;1.00;2,39;2,39
;Litter Aparas Madeira 4Kg;Bem-estar Animal;1.00;4,97;4,97
;Amanova Gato Sardinha & Camarão - lata 70g;Felídeos - Ração - Húmida;17.00;14,62;14,62
;Ownat Dog Prime Mini Adult Chicken and Turkey 3Kg;Canídeos - Ração - Seca;2.00;25,48;25,48
;Flagyl 250mg (metronidazol) - comprimido;Medicamentos;0.00;0;0
;Profender gato 0,7ml - 2,5-5kg - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
;Applaws Cat Ocean Fish with Salmon 6kg;Felídeos - Ração - Seca;0.00;0;0
;Redonyl ultra 50mg - embalagem de 60 cápsulas;Suplemento;0.00;0;0
;Effivet solução oftálmica 60ml;Suplemento;15.00;86,25;86,25
;Purina Proplan Hydra Care 85g - Saqueta;Felídeos - Ração - Húmida;4.00;2,92;2,92
;Manipulado Sildenafil 5mg/ml - 270ml;Medicamentos;0.00;0;0
;Nature Gerbil 700g;Leporídeos - Ração;0.00;0;0
;RC Kit Urinary;Felídeos - Rações;0.00;0;0
;Amanova Gato Atum e Manga - lata 70g;Felídeos - Ração - Húmida;4.00;3,44;3,44
;Amanova Puppy Sensitive Salmon Deluxe 2Kg;Canídeos - Ração - Seca;0.00;0;0
;Kong Cat Enchanted Buzzy Unicorn;Bem-estar Animal;0.00;0;0
